row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,classification,high_ses_native,ece,12.0,0.03081534923107632,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,12.0,0.8165482429168073,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,12.0,0.012079709724210574,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,12.0,0.04405391097463608,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,12.0,0.12443153090559422,,,,,
replicate,PV1MATH,regression,global,rmse,13.0,60.832488675739725,,,,,
replicate,PV1MATH,regression,global,r2,13.0,0.6259479685358454,,,,,
replicate,PV1MATH,classification,global,auc,13.0,0.8866165263030757,,,,,
replicate,PV1MATH,classification,global,brier,13.0,0.1355316283212707,,,,,
replicate,PV1MATH,classification,global,ece,13.0,0.0316413488527349,,,,,
replicate,PV1MATH,classification,global,calibration_slope,13.0,0.7859867406021832,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,13.0,0.8476712847419201,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,13.0,0.15885848807308373,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,13.0,0.07467666059440828,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,13.0,0.8236786003845515,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,13.0,0.8605497396504581,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,13.0,0.10976050920120967,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,13.0,0.028795914223051198,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,13.0,0.8412996416717694,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,13.0,-0.012878454908538006,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,13.0,0.043035311741673375,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,13.0,0.03769185978236833,,,,,
replicate,PV1MATH,regression,global,rmse,14.0,60.45441714389371,,,,,
replicate,PV1MATH,regression,global,r2,14.0,0.6265853069172518,,,,,
replicate,PV1MATH,classification,global,auc,14.0,0.8855294990255826,,,,,
replicate,PV1MATH,classification,global,brier,14.0,0.13640011827878534,,,,,
replicate,PV1MATH,classification,global,ece,14.0,0.03232260799512013,,,,,
replicate,PV1MATH,classification,global,calibration_slope,14.0,0.7878223217948523,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,14.0,0.841809527094382,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,14.0,0.1621870024538304,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,14.0,0.07160216788497382,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,14.0,0.8320625470237102,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,14.0,0.8574722610496216,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,14.0,0.11007439435609531,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,14.0,0.034790656665195915,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,14.0,0.8330842475039693,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,14.0,-0.01566273395523965,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,14.0,0.039279559889853696,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,14.0,0.044240225228857843,,,,,
replicate,PV1MATH,regression,global,rmse,15.0,60.76595887171353,,,,,
replicate,PV1MATH,regression,global,r2,15.0,0.6243666327370763,,,,,
replicate,PV1MATH,classification,global,auc,15.0,0.8855556630318482,,,,,
replicate,PV1MATH,classification,global,brier,15.0,0.13635191772044974,,,,,
replicate,PV1MATH,classification,global,ece,15.0,0.03124163370668337,,,,,
replicate,PV1MATH,classification,global,calibration_slope,15.0,0.7896766203693588,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,15.0,0.8442836746276897,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,15.0,0.15767188395120443,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,15.0,0.07864403421746599,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,15.0,0.7749630706208293,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,15.0,0.8540729427991924,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,15.0,0.11080437371332974,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,15.0,0.03090116470469396,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,15.0,0.8149076896231705,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,15.0,-0.009789268171502719,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,15.0,0.04740240051078262,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,15.0,-0.014713549748529564,,,,,
replicate,PV1MATH,regression,global,rmse,16.0,60.44397057462236,,,,,
replicate,PV1MATH,regression,global,r2,16.0,0.6252279766567496,,,,,
replicate,PV1MATH,classification,global,auc,16.0,0.8841608796206021,,,,,
replicate,PV1MATH,classification,global,brier,16.0,0.1374654347563091,,,,,
replicate,PV1MATH,classification,global,ece,16.0,0.03287292519643061,,,,,
replicate,PV1MATH,classification,global,calibration_slope,16.0,0.7843138186501898,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,16.0,0.869523772051902,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,16.0,0.1467951090683259,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,16.0,0.06880938177573018,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,16.0,0.9200128918990299,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,16.0,0.8552955122136782,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,16.0,0.10866647373754731,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,16.0,0.03020124970436493,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,16.0,0.8288134340331383,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,16.0,0.014228259838223845,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,16.0,0.035936456579299565,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,16.0,0.13569907324884012,,,,,
replicate,PV1MATH,regression,global,rmse,17.0,60.69203254834558,,,,,
replicate,PV1MATH,regression,global,r2,17.0,0.6166126298513193,,,,,
replicate,PV1MATH,classification,global,auc,17.0,0.8838924984014886,,,,,
replicate,PV1MATH,classification,global,brier,17.0,0.1365224203192965,,,,,
replicate,PV1MATH,classification,global,ece,17.0,0.03292590700447004,,,,,
replicate,PV1MATH,classification,global,calibration_slope,17.0,0.7821061391164652,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,17.0,0.8533454699736304,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,17.0,0.1543916033040582,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,17.0,0.08071625506915618,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,17.0,0.8457785303482503,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,17.0,0.8568074958662878,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,17.0,0.10951490524204492,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,17.0,0.02960945029047245,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,17.0,0.8269647866171138,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,17.0,-0.0034620258926574277,,,,,
