query_index,baseline_prediction,base_ST004D01T,base_GRADE,base_AGE,base_ESCS,base_IMMIG,base_HISEI,base_PAREDINT,base_HOMEPOS,base_ANXMAT,base_MATHEFF,base_MATHEF21,base_MATHPERS,base_FAMCON,base_BELONG,base_BULLIED,base_FEELSAFE,base_SCHRISK,base_FAMSUP,base_DISCLIM,base_TEACHSUP,base_COGACRCO,base_COGACMCO,base_STUBEHA,base_TEACHBEHA,base_EDUSHORT,base_STAFFSHORT,base_ICTRES,base_ICTHOME,base_ICTSCH,base_ICTEFFIC,base_ICTINFO,base_ICTSUBJ,base_STUDYHMW
159481,0.5196478366851807,1.0,-1.0,15.5,0.523,1.0,58.77,16.0,0.2861,0.1748,,-0.5803,-0.4776,,-1.042,0.4394,-1.1042,-0.6386,-0.9738,-0.0903,1.5558,-0.4298,-0.0576,,,,,0.3017,,,,,,0.0
301056,0.5755641460418701,0.0,1.0,16.0,0.3856,1.0,80.92,16.0,-1.0258,-0.4487,,-0.628,-0.9348,,-0.2482,-1.228,-1.5326,-0.6386,-0.2224,0.3884,-0.1002,-0.415,0.9876,,2.3893,1.7368,1.4096,,0.3346,0.4062,0.5908,0.2929,-0.168,1.0
156215,0.9527962803840637,0.0,-2.0,15.58,-1.4725,2.0,30.34,,-1.8196,2.635,-0.3749,-1.4183,-0.1497,-1.2851,0.1448,0.8353,-1.5326,-0.6386,0.0372,-0.5532,0.1475,0.6285,2.3963,0.0177,0.2266,1.2478,1.3918,-1.4873,,,,,,7.0
273634,0.9193198680877686,1.0,0.0,15.67,0.0879,1.0,50.15,16.0,-0.3568,1.4278,-1.446,-0.6303,0.2146,-0.3671,,-1.228,-0.756,-0.6386,-0.9636,1.6526,-1.3627,0.1194,0.3896,-1.2881,-2.0409,-1.4212,-0.1953,,,,,,,1.0
219051,0.9986518025398254,1.0,-2.0,15.25,-3.0371,1.0,23.47,9.0,-3.7487,,,,,,-0.3724,-1.228,-0.756,,,,,,,,-1.419,-0.0003,-0.4314,-3.4811,,,,,,1.0
444937,0.8049213886260986,0.0,0.0,15.75,-0.3403,1.0,44.94,16.0,-1.1356,0.3025,-0.7685,-0.4031,-1.8788,,-0.1058,0.9798,-0.756,-0.6386,0.6629,0.7793,0.4357,-1.1721,-0.8429,0.1795,0.3229,-0.4447,0.592,-1.4401,0.3346,0.4062,-1.2963,-0.5074,0.2199,2.0
231178,0.8030981421470642,1.0,-1.0,15.67,-1.4383,1.0,22.77,12.0,-1.1413,2.5078,2.1802,2.3507,2.2849,2.9851,0.5453,-1.228,-0.756,,1.7692,0.3926,1.5558,0.3374,1.238,,,,,,0.3346,0.4062,0.8827,0.6984,-1.2661,10.0
275587,0.9554437398910522,1.0,-1.0,15.42,-2.2187,1.0,,12.0,-2.1891,-1.52,1.9612,,2.016,0.4138,,,-0.756,-0.6386,1.7168,1.831,1.5558,-2.296,2.3607,-1.3729,1.1314,-1.4212,1.4414,,,,,,,-1.0
77899,0.9892821311950684,0.0,2.0,15.33,-2.4121,1.0,16.36,12.0,-3.1547,0.8255,-1.0787,,-0.3606,,-0.7775,2.3512,-2.0973,1.8348,0.7274,-0.8406,1.5558,0.6907,,-0.2852,-2.1691,0.8339,-0.6913,-2.6968,,,,,,8.0
213193,0.8398810625076294,0.0,0.0,15.5,-0.4067,1.0,,16.0,-0.5147,2.5429,-2.1681,-0.4724,-2.6003,-1.4934,-0.2482,-1.228,1.1246,-0.6386,-0.722,-0.5532,-0.1002,-0.129,-2.0286,-0.0155,-1.2943,1.2478,-0.05,,0.3346,0.4062,,-0.2793,0.5679,10.0
