pv,estimand,task,group,metric,estimate,n
PV10MATH,senate,classification,low_ses_non_native,auc,0.8482108873456596,2495
PV10MATH,senate,classification,low_ses_non_native,brier,0.16133352470099008,2495
PV10MATH,senate,classification,low_ses_non_native,ece,0.03962298827748841,2495
PV10MATH,senate,classification,low_ses_non_native,calibration_slope,0.8223413312486592,2495
PV10MATH,senate,classification,high_ses_native,auc,0.8671189442802182,24678
PV10MATH,senate,classification,high_ses_native,brier,0.10845845286098726,24678
PV10MATH,senate,classification,high_ses_native,ece,0.017450373680164888,24678
PV10MATH,senate,classification,high_ses_native,calibration_slope,0.9339416759051978,24678
PV10MATH,senate,classification,contrast,auc_difference,-0.018908056934558548,27173
PV10MATH,senate,classification,contrast,ece_difference,0.01588499906946176,27173
PV10MATH,senate,classification,contrast,slope_difference,-0.03570035544148842,27173
