student_idx,predicted_probability,feature,shap_contribution,rank
417988,0.991338849067688,BULLIED,0.8633432249549514,1
417988,0.991338849067688,ICTRES,0.7501985583521673,2
417988,0.991338849067688,HOMEPOS,0.6420281690617048,3
417988,0.991338849067688,GRADE,0.6028872410254371,4
417988,0.991338849067688,IMMIG,0.522092862275531,5
417988,0.991338849067688,HISEI,0.5123402273068859,6
417988,0.991338849067688,EDUSHORT,0.41372252331805615,7
417988,0.991338849067688,ANXMAT,0.282066031539955,8
417988,0.991338849067688,FAMCON,0.2340944125228998,9
417988,0.991338849067688,STUDYHMW,0.18104515116488984,10
4500,0.9255221486091614,GRADE,0.6415339712280366,1
4500,0.9255221486091614,BELONG,0.570562160694667,2
4500,0.9255221486091614,EDUSHORT,0.4890997437626902,3
4500,0.9255221486091614,BULLIED,0.30562903750436815,4
4500,0.9255221486091614,DISCLIM,0.26610783619342326,5
4500,0.9255221486091614,MATHEFF,0.25312835238336445,6
4500,0.9255221486091614,STAFFSHORT,0.24565337470412488,7
4500,0.9255221486091614,TEACHBEHA,0.1829975242555156,8
4500,0.9255221486091614,FAMCON,0.1815063227653445,9
4500,0.9255221486091614,STUDYHMW,0.17112675815580589,10
219591,0.9931339025497437,HOMEPOS,0.983345349756928,1
219591,0.9931339025497437,GRADE,0.5992964429473068,2
219591,0.9931339025497437,IMMIG,0.5598043122433409,3
219591,0.9931339025497437,ICTRES,0.3922399190543183,4
219591,0.9931339025497437,STUBEHA,0.33408041899724367,5
219591,0.9931339025497437,SCHRISK,0.30219651771889405,6
219591,0.9931339025497437,HISEI,0.3005793684293803,7
219591,0.9931339025497437,MATHEFF,0.26319875293488165,8
219591,0.9931339025497437,FAMCON,0.25977229595682727,9
219591,0.9931339025497437,COGACMCO,0.25873112150085037,10
533802,0.8673754930496216,HOMEPOS,1.1909052289386455,1
533802,0.8673754930496216,ICTRES,0.7164987189540807,2
533802,0.8673754930496216,ICTSUBJ,0.33038618354282334,3
