pv,estimand,task,group,metric,estimate,n
PV8MATH,population,regression,global,r2,0.6238707679554836,123406
PV8MATH,population,classification,global,auc,0.8852605904401947,123406
PV8MATH,population,classification,global,brier,0.13696009919691202,123406
PV8MATH,population,classification,global,ece,0.030952620313435868,123406
PV8MATH,population,classification,global,calibration_slope,0.7881336962322775,123406
PV8MATH,population,classification,low_ses_non_native,auc,0.854203424128556,2533
PV8MATH,population,classification,low_ses_non_native,brier,0.1539623313558512,2533
PV8MATH,population,classification,low_ses_non_native,ece,0.036313963440420025,2533
PV8MATH,population,classification,low_ses_non_native,calibration_slope,0.8308900240548998,2533
PV8MATH,population,classification,high_ses_native,auc,0.8554688168360072,24909
PV8MATH,population,classification,high_ses_native,brier,0.10517557302709944,24909
PV8MATH,population,classification,high_ses_native,ece,0.02294516807135281,24909
PV8MATH,population,classification,high_ses_native,calibration_slope,0.8267249728539195,24909
PV8MATH,population,classification,contrast,auc_difference,-0.001265392707451185,27442
PV8MATH,population,classification,contrast,ece_difference,0.005361343126984157,27442
PV8MATH,population,classification,contrast,slope_difference,0.042756327822622286,27442
PV8MATH,senate,regression,global,rmse,64.78700880023884,123406
PV8MATH,senate,regression,global,r2,0.6050519978975646,123406
PV8MATH,senate,classification,global,auc,0.8775330931008054,123406
PV8MATH,senate,classification,global,brier,0.1427203797856499,123406
PV8MATH,senate,classification,global,ece,0.021131307318281594,123406
PV8MATH,senate,classification,global,calibration_slope,0.8647242040505787,123406
PV8MATH,senate,classification,low_ses_non_native,auc,0.8618863282612174,2533
PV8MATH,senate,classification,low_ses_non_native,brier,0.15309417545782358,2533
PV8MATH,senate,classification,low_ses_non_native,ece,0.038857401036737585,2533
PV8MATH,senate,classification,low_ses_non_native,calibration_slope,0.9366130668231629,2533
PV8MATH,senate,classification,high_ses_native,auc,0.8527011741825652,24909
PV8MATH,senate,classification,high_ses_native,brier,0.11086774748090507,24909
PV8MATH,senate,classification,high_ses_native,ece,0.018175082410523784,24909
PV8MATH,senate,classification,high_ses_native,calibration_slope,0.8839022313361784,24909
PV8MATH,senate,classification,contrast,auc_difference,0.009185154078652169,27442
PV8MATH,senate,classification,contrast,ece_difference,0.01772609371845599,27442
PV8MATH,senate,classification,contrast,slope_difference,0.07188886277258422,27442
PV9MATH,population,regression,global,rmse,61.392940404702685,123406
PV9MATH,population,regression,global,r2,0.6171022074800206,123406
PV9MATH,population,classification,global,auc,0.8871325296806756,123406
PV9MATH,population,classification,global,brier,0.13525293087310022,123406
PV9MATH,population,classification,global,ece,0.029603711991008218,123406
PV9MATH,population,classification,global,calibration_slope,0.7960938058654313,123406
PV9MATH,population,classification,low_ses_non_native,auc,0.8434873612844922,2533
PV9MATH,population,classification,low_ses_non_native,brier,0.15842697213655324,2533
PV9MATH,population,classification,low_ses_non_native,ece,0.07593702733933828,2533
PV9MATH,population,classification,low_ses_non_native,calibration_slope,0.776394510358736,2533
PV9MATH,population,classification,high_ses_native,auc,0.864204594150913,24909
PV9MATH,population,classification,high_ses_native,brier,0.10358991605053952,24909
PV9MATH,population,classification,high_ses_native,ece,0.02219862117896154,24909
PV9MATH,population,classification,high_ses_native,calibration_slope,0.8512408372665906,24909
PV9MATH,population,classification,contrast,auc_difference,-0.0207172328664208,27442
PV9MATH,population,classification,contrast,ece_difference,0.046333315348330066,27442
PV9MATH,population,classification,contrast,slope_difference,-0.019699295506695358,27442
PV9MATH,senate,regression,global,rmse,64.75506080199696,123406
PV9MATH,senate,regression,global,r2,0.6056907997078954,123406
PV9MATH,senate,classification,global,auc,0.8782310733386324,123406
PV9MATH,senate,classification,global,brier,0.14231411272435587,123406
PV9MATH,senate,classification,global,ece,0.021558887206738542,123406
PV9MATH,senate,classification,global,calibration_slope,0.863596946379652,123406
PV9MATH,senate,classification,low_ses_non_native,auc,0.8596068479047522,2533
PV9MATH,senate,classification,low_ses_non_native,brier,0.15472092551925776,2533
PV9MATH,senate,classification,low_ses_non_native,ece,0.0521853473342313,2533
PV9MATH,senate,classification,low_ses_non_native,calibration_slope,0.8778512154605794,2533
PV9MATH,senate,classification,high_ses_native,auc,0.8568488225594891,24909
PV9MATH,senate,classification,high_ses_native,brier,0.10869923649502473,24909
PV9MATH,senate,classification,high_ses_native,ece,0.016647055737161263,24909
PV9MATH,senate,classification,high_ses_native,calibration_slope,0.8994512582840596,24909
PV9MATH,senate,classification,contrast,auc_difference,0.0027580253452630377,27442
PV9MATH,senate,classification,contrast,ece_difference,0.03062646012749276,27442
PV9MATH,senate,classification,contrast,slope_difference,0.014254269080927418,27442
PV10MATH,population,regression,global,rmse,60.973671953772616,123406
PV10MATH,population,regression,global,r2,0.6243005819174345,123406
PV10MATH,population,classification,global,auc,0.8863645357414753,123406
PV10MATH,population,classification,global,brier,0.13662518908180885,123406
PV10MATH,population,classification,global,ece,0.03586768063669999,123406
PV10MATH,population,classification,global,calibration_slope,0.7830903104759582,123406
PV10MATH,population,classification,low_ses_non_native,auc,0.8056951754712156,2533
PV10MATH,population,classification,low_ses_non_native,brier,0.1880316166712625,2533
PV10MATH,population,classification,low_ses_non_native,ece,0.10205867999396094,2533
PV10MATH,population,classification,low_ses_non_native,calibration_slope,0.6301692134995376,2533
PV10MATH,population,classification,high_ses_native,auc,0.8547637574330577,24909
PV10MATH,population,classification,high_ses_native,brier,0.11120207760872206,24909
PV10MATH,population,classification,high_ses_native,ece,0.034088997502616084,24909
PV10MATH,population,classification,high_ses_native,calibration_slope,0.8180113161508942,24909
PV10MATH,population,classification,contrast,auc_difference,-0.04906858196184205,27442
PV10MATH,population,classification,contrast,ece_difference,0.06619099935726094,27442
PV10MATH,population,classification,contrast,slope_difference,-0.15292109697642065,27442
PV10MATH,senate,regression,global,rmse,64.50399164223349,123406
PV10MATH,senate,regression,global,r2,0.6069095030024427,123406
PV10MATH,senate,classification,global,auc,0.8768642174449074,123406
PV10MATH,senate,classification,global,brier,0.1432221766525239,123406
PV10MATH,senate,classification,global,ece,0.02336965736489495,123406
PV10MATH,senate,classification,global,calibration_slope,0.8545145563045347,123406
PV10MATH,senate,classification,low_ses_non_native,auc,0.8558282603771646,2533
